,City,Latitude,Longitude,Max Temp,Humidty,Wind Speed,Cloudiness,Country,Date
0,Burundi,-3.5,30.0,298.79,43,43,4.34,BI,1601382769
1,Freetown,8.48,-13.23,300.52,78,78,2.96,SL,1601382580
2,Accra,5.56,-0.2,302.15,74,74,6.7,GH,1601382691
